MDB_AP_AP214_00001.sql               1177 ap/ap214/p1
MDB_AR_SOURCES.syn                      1 ri/ri200/p1
MDB_AR_SOURCES.tab                      1 ri/ri200/p1
MDB_AR_SOURCES_S.grt                    1 ri/ri200/p1
MDB_AR_SOURCES_S.seq                    1 ri/ri200/p1
MDB_AR_SOURCES_S.syn                    1 ri/ri200/p1
MDB_AR_SOURCES_V.vw                     1 ri/ri200/p1
MDB_AR_TRX_TYPES_ALL.grt                1 ri/ri200/p1
MDB_AR_TRX_TYPES_ALL.ind                1 ri/ri200/p1
MDB_AR_TRX_TYPES_ALL.syn                1 ri/ri200/p1
MDB_AR_TRX_TYPES_ALL.tab                1 ri/ri200/p1
MDB_AR_TRX_TYPES_ALL_S.grt              1 ri/ri200/p1
MDB_AR_TRX_TYPES_ALL_S.seq              1 ri/ri200/p1
MDB_AR_TRX_TYPES_ALL_S.syn              1 ri/ri200/p1
MDB_AR_TRX_TYPES_V.vw                   1 ri/ri200/p1
MDB_REC_CUSTOMIZACOES_MNU.ldt           1 ri/ri200/p1
MDB_REC_F_INVLIN_IFACE_V.vw             1 ri/ri200/p1
MDB_REC_F_INV_IFACE_V.vw                1 ri/ri200/p1
MDB_REC_IMPNFTRANS_PK_CCR.ldt           1 ri/ri200/p1
MDB_REC_INVC_LIN_IFACE.grt              1 ri/ri200/p1
MDB_REC_INVC_LIN_IFACE.ind              1 ri/ri200/p1
MDB_REC_INVC_LIN_IFACE.syn              1 ri/ri200/p1
MDB_REC_INVC_LIN_IFACE.tab              1 ri/ri200/p1
MDB_REC_INVC_LIN_IFACE_S.grt            1 ri/ri200/p1
MDB_REC_INVC_LIN_IFACE_S.seq            1 ri/ri200/p1
MDB_REC_INVC_LIN_IFACE_S.syn            1 ri/ri200/p1
MDB_REC_INVOICES_IFACE.grt              1 ri/ri200/p1
MDB_REC_INVOICES_IFACE.ind              1 ri/ri200/p1
MDB_REC_INVOICES_IFACE.syn              1 ri/ri200/p1
MDB_REC_INVOICES_IFACE.tab              1 ri/ri200/p1
MDB_REC_INVOICES_IFACE_S.grt            1 ri/ri200/p1
MDB_REC_INVOICES_IFACE_S.seq            1 ri/ri200/p1
MDB_REC_INVOICES_IFACE_S.syn            1 ri/ri200/p1
MDB_REC_INVOICES_IFACE_V.vw             1 ri/ri200/p1
MDB_REC_INV_LINES_IFACE_V.vw            1 ri/ri200/p1
MDB_REC_RI200_00001.sql                 1 ri/ri200/p1
MDB_REC_UPDIFACE_R_BU.trg               1 ri/ri200/p1
MDB_RI_IMPNFTRANS_PKB.pls               1 ri/ri200/p1
MDB_RI_IMPNFTRANS_PKS.pls               1 ri/ri200/p1
REC_LOOKUP_CODES.sql                    1 ri/ri200/p1
MDBARTRXTYP.fmb                         1 ri/ri200/p2
MDBRECIMPNFTR.fmb                       1 ri/ri200/p2
MDB_REC_F_INVLIN_IFACE_V.vw             1 ri/ri200/p2
MDB_REC_F_INV_IFACE_V.vw                1 ri/ri200/p2
MDB_RI_IMPNFTRANS_PKB.pls               1 ri/ri200/p2
MDB_REC_F_INV_IFACE_V.vw                1 ri/ri200/p3
MDB_RI_IMPNFTRANS_PKB.pls               1 ri/ri200/p3
MDB_RI_IMPNFTRANS_PKB.pls               1 ri/ri200/p4
MDB_REC_UPDIFACE_R_BU.trg               1 ri/ri200/p5
MDB_RI_IMPNFTRANS_PKB.pls               1 ri/ri200/p5
MDB_REC_LOOKUP_CODES_RI200.sql        162 ri/ri200/p6
MDB_REC_ACC_CORREC_RET_CCR.ldt          1 ri/ri203/p1
MDB_REC_ACC_CORREC_RET_PKB.pls          1 ri/ri203/p1
MDB_REC_ACC_CORREC_RET_PKS.pls          1 ri/ri203/p1
MDB_REC_ACC_CORREC_RET_RQG.ldt          1 ri/ri203/p1
MDB_REC_ENTRY_OPER_R_AIU.trg            1 ri/ri203/p1
MDB_REC_RI203_00001.sql                 1 ri/ri203/p1
REC_HOLDS_CUSTOM_PKB.pls                1 ri/ri203/p1
REC_HOLDS_CUSTOM_PKS.pls                1 ri/ri203/p1
MDB_REC_ACC_CORREC_RET_CCR.ldt          1 ri/ri203/p2
MDB_REC_ACC_CORREC_RET_PKB.pls          1 ri/ri203/p2
MDB_REC_ACC_CORREC_RET_PKS.pls          1 ri/ri203/p2
MDB_REC_ACC_CORREC_RET_RQG.ldt          1 ri/ri203/p2
MDB_REC_ENTRY_OPER_R_AIU.trg            1 ri/ri203/p2
MDB_REC_RI203_00001.sql                 1 ri/ri203/p2
REC_HOLDS_CUSTOM_PKB.pls                1 ri/ri203/p2
REC_HOLDS_CUSTOM_PKS.pls                1 ri/ri203/p2
REC_LOOKUP_CODES.sql                    1 ri/ri203/p2
MDB_REC_ACC_CORREC_RET_CCR.ldt          1 ri/ri203/p3
MDB_REC_ACC_CORREC_RET_PKB.pls          1 ri/ri203/p3
MDB_REC_ACC_CORREC_RET_PKS.pls          1 ri/ri203/p3
MDB_REC_ACC_CORREC_RET_CCR.ldt         20 ri/ri203/p4
MDB_REC_ACC_CORREC_RET_PKB.pls         20 ri/ri203/p4
MDB_REC_ACC_CORREC_RET_PKS.pls         20 ri/ri203/p4
MDB_REC_ACC_CORREC_RET_RQG.ldt         20 ri/ri203/p4
MDB_REC_ENTRY_OPER_R_AIU.trg           20 ri/ri203/p4
MDB_REC_RI203_00001.sql                20 ri/ri203/p4
REC_HOLDS_CUSTOM_PKB.pls               20 ri/ri203/p4
REC_HOLDS_CUSTOM_PKS.pls               20 ri/ri203/p4
REC_LOOKUP_CODES.sql                   20 ri/ri203/p4
MDB_PO_RCV_TRANSACT_R_AI.trg            1 ri/ri207/p1
MDB_REC_QTY_DIVERG_CCR.ldt              1 ri/ri207/p1
MDB_REC_RCV_TRANSACT_DFF.ldt            1 ri/ri207/p1
MDB_REC_RECEIPT_DIVER.tab               1 ri/ri207/p1
MDB_REC_RECEIPT_DIVERG.grt              1 ri/ri207/p1
MDB_REC_RECEIPT_DIVERG.syn              1 ri/ri207/p1
MDB_REC_RECEIPT_DIVERG_N1.ind           1 ri/ri207/p1
MDB_REC_RECEIPT_DIVERG_U1.ind           1 ri/ri207/p1
MDB_REC_RECEIPT_UTIL_PKB.pls            1 ri/ri207/p1
MDB_REC_RECEIPT_UTIL_PKS.pls            1 ri/ri207/p1
MDB_REC_REC_PARAM_DFF.ldt               1 ri/ri207/p1
MDB_REC_RI207_00001.sql                 1 ri/ri207/p1
MDB_RI207_ALERT_INSERT_v1.doc           1 ri/ri207/p1/pos_patch
MDB_PO_RCV_TRANSACT_R_AI.trg           22 ri/ri207/p2
MDB_REC_QTY_DIVERG_CCR.ldt             22 ri/ri207/p2
MDB_REC_RCV_TRANSACT_DFF.ldt           22 ri/ri207/p2
MDB_REC_RECEIPT_DIVERG.grt             22 ri/ri207/p2
MDB_REC_RECEIPT_DIVERG.syn             22 ri/ri207/p2
MDB_REC_RECEIPT_DIVERG_N1.ind          22 ri/ri207/p2
MDB_REC_RECEIPT_DIVERG_U1.ind          22 ri/ri207/p2
MDB_REC_RECEIPT_UTIL_PKB.pls           22 ri/ri207/p2
MDB_REC_RECEIPT_UTIL_PKS.pls           22 ri/ri207/p2
MDB_REC_REC_PARAMETERS_DFF.ldt         22 ri/ri207/p2
MDB_REC_RI207_00001.sql                22 ri/ri207/p2
MDB_REC_FIXED_ACCOUNT_PKB.pls        1343 ri/ri250/p1
MDB_REC_FIXED_ACCOUNT_PKS.pls        1343 ri/ri250/p1
REC_HOLDS_CUSTOM_PKB.pls             1345 ri/ri250/p1
REC_HOLDS_CUSTOM_PKS.pls             1345 ri/ri250/p1
MDBRECAVISORECEBIMENTOPRF.ldt        3262 ri/ri401/p1
MDBRECDLPDTI.rdf                     3242 ri/ri401/p1
MDBRECDLPDTIAUTO_CCR.ldt             3262 ri/ri401/p1
MDBRECDLPDTI_CCR.ldt                 3262 ri/ri401/p1
MDBRECDLPDTNI.rdf                    3242 ri/ri401/p1
MDBRECDLPDTNIAUTO_CCR.ldt            3262 ri/ri401/p1
MDBRECDLPDTNI_CCR.ldt                3262 ri/ri401/p1
MDB_REC_AVREC_PKB.pls                3242 ri/ri401/p1
MDB_REC_AVREC_PKS.pls                3242 ri/ri401/p1
MDB_REC_AVREC_R_AIU.trg              3242 ri/ri401/p1
MDB_REC_RI401_00001.sql              3242 ri/ri401/p1
MDB_RI_MOVE_OPERATION_FP.ldt         2785 ri/ri600_move_operation_id_rec_fisico/p1
MDBWIPSMP.rdf                           1 wip/wip401_Separacao_Mat_Prod/p1
MDB_INV_CATEGORY_VST.ldt                1 wip/wip401_Separacao_Mat_Prod/p1
MDB_WIP_ENTITY_NAME_VST.ldt             1 wip/wip401_Separacao_Mat_Prod/p1
MDB_WIP_SMP_CCR.ldt                     1 wip/wip401_Separacao_Mat_Prod/p1
MDB_WIP_SMP_RQG.ldt                     1 wip/wip401_Separacao_Mat_Prod/p1
MDBWIPSMP.rdf                           1 wip/wip401_Separacao_Mat_Prod/p2
MDB_INV_CATEGORY_VST.ldt                1 wip/wip401_Separacao_Mat_Prod/p2
MDB_WIP_ENTITY_NAME_VST.ldt             1 wip/wip401_Separacao_Mat_Prod/p2
MDB_WIP_SMP_CCR.ldt                     1 wip/wip401_Separacao_Mat_Prod/p2
MDB_WIP_SMP_RQG.ldt                     1 wip/wip401_Separacao_Mat_Prod/p2
MDB_WIP_SRS_ORG_ID_VST.ldt              1 wip/wip401_Separacao_Mat_Prod/p2
LDT_MDB_WIP_SMP_CCR.ldt                 1 wip/wip401_Separacao_Mat_Prod/p3
MDBWIPSMP.rdf                           1 wip/wip401_Separacao_Mat_Prod/p3
MDBWIPSMP.rdf                           1 wip/wip401_Separacao_Mat_Prod/p4
MDBWIPSMP.rdf                         788 wip/wip401_Separacao_Mat_Prod/p5
MDB_WIP_SMP_CCR.ldt                   772 wip/wip401_Separacao_Mat_Prod/p5
MDBWIPSMP.rdf                        1114 wip/wip401_Separacao_Mat_Prod/p6
MDB_WIP_SMP_CCR.ldt                  1137 wip/wip401_Separacao_Mat_Prod/p6
MDB_WIP_SMP_CCR.sql                  1824 wip/wip401_Separacao_Mat_Prod/p6
MDB_WIP_SMP_RQG.ldt                  1824 wip/wip401_Separacao_Mat_Prod/p6
MDBWIPSMP.rdf                        2044 wip/wip401_Separacao_Mat_Prod/p7
MDB_WIP_PROG_PROD.rdf                2921 wip/wip402_Relat_Progr_Prod/p1
MDB_WIP_PROG_PROD_CCR.ldt            2931 wip/wip402_Relat_Progr_Prod/p1
MDB_WIP_PROG_PROD_RQG.ldt            2947 wip/wip402_Relat_Progr_Prod/p1
MDBWIPMOOP.rdf                       2665 wip/wip405_Relat_Apont/p1
MDB_WIP_MOOP_CCR.ldt                 2506 wip/wip405_Relat_Apont/p1
MDB_WIP_MOOP_RQG.ldt                 2506 wip/wip405_Relat_Apont/p1
MDB_WIP_MOOP_VST.ldt                 2506 wip/wip405_Relat_Apont/p1
MDBWIPMOOP.rdf                       3147 wip/wip405_Relat_Apont/p2
mdbfile.drv                          1727 wip/wip406_Relat_Conf_Cons_Est_Comp/p1
MDB_WIP_CONF_COMP.rdf                1725 wip/wip406_Relat_Conf_Cons_Est_Comp/p1
MDB_WIP_CONF_COMP_CCR.ldt            1721 wip/wip406_Relat_Conf_Cons_Est_Comp/p1
MDB_WIP_CUSTOMIZACOES_RQG.ldt        1722 wip/wip406_Relat_Conf_Cons_Est_Comp/p1
MDB_WIP_CONF_COMP.rdf                2467 wip/wip406_Relat_Conf_Cons_Est_Comp/p2
MDB_WIP_CONF_COMP_CCR.ldt            2686 wip/wip406_Relat_Conf_Cons_Est_Comp/p3
MDB_WIP_CONF_COMP_CCR.sql            2638 wip/wip406_Relat_Conf_Cons_Est_Comp/p3
MDB_WIP_CUSTOMIZACOES_RQG.ldt        2638 wip/wip406_Relat_Conf_Cons_Est_Comp/p3
MDB_WIP_COMPLETION_FP.ldt            2266 wip/wip600_Transacoes_Conclusao/p1
MDB_WIP_COMPLETION_FP.ldt            2445 wip/wip600_Transacoes_Conclusao/p2
MDB_WIP_TRANSACTIONS_PKB.pls         2445 wip/wip600_Transacoes_Conclusao/p2
MDB_WIP_TRANSACTIONS_PKS.pls         2445 wip/wip600_Transacoes_Conclusao/p2
MDB_WIP_MOVE_TRANS_FP.ldt            2445 wip/wip601_Transacoes_Movimentacao/p1
